281-24-236 x 3006-210-23 x COT102  x 81910,DAS-24236-5 x DAS-21Ø23-5 x SYN-IR1Ø2-7 x DAS-81910-7,"2,4-D herbicide tolerance",Cotton,Gossypium hirsutum L.,not available,aad-12
3006-210-23 x 281-24-236 x MON88913 x COT102 x 81910,DAS-21Ø23-5 x DAS-24236-5 x MON-88913-8 x SYN-IR1Ø2-7 x DAS-81910-7,"2,4-D herbicide tolerance",Cotton,Gossypium hirsutum L.,not available,aad-12
81910,DAS-81910-7,"2,4-D herbicide tolerance",Cotton,Gossypium hirsutum L.,not available,aad-12
59122 x DAS40278,DAS-59122-7 x DAS-4Ø278-9,"2,4-D herbicide tolerance",Maize,Zea mays L.,not available,aad-1
59122 x MON88017 x DAS40278,DAS-59122-7 x MON-88Ø17-3 x DAS-4Ø278-9,"2,4-D herbicide tolerance",Maize,Zea mays L.,not available,aad-1
DAS40278,DAS-4Ø278-9,"2,4-D herbicide tolerance",Maize,Zea mays L.,Enlist™ Maize,aad-1
DAS40278 x NK603,DAS-4Ø278-9 x MON-ØØ6Ø3-6,"2,4-D herbicide tolerance",Maize,Zea mays L.,not available,aad-1
MON87427 x MON89034 x TC1507 x MON87411 x 59122 x DAS40278,MON-87427-7 x MON-89Ø34-3 x DAS-Ø15Ø7-1 x MON-87411-9 x DAS-59122-7 x DAS-4Ø278-9,"2,4-D herbicide tolerance",Maize,Zea mays L.,SmartStax™ Pro x Enlist™,aad-1
MON88017 x DAS40278,MON-88Ø17-3 x DAS-4Ø278-9,"2,4-D herbicide tolerance",Maize,Zea mays L.,not available,aad-1
MON89034 x 59122 x DAS40278,MON-89Ø34-3 x DAS-59122-7 x DAS-4Ø278-9,"2,4-D herbicide tolerance",Maize,Zea mays L.,not available,aad-1
MON89034 x 59122 x MON88017 x DAS40278,MON-89Ø34-3 x DAS-59122-7 x MON-88Ø17-3 x DAS-4Ø278-9,"2,4-D herbicide tolerance",Maize,Zea mays L.,not available,aad-1
MON89034 x DAS40278,MON-89Ø34-3 x DAS-4Ø278-9,"2,4-D herbicide tolerance",Maize,Zea mays L.,not available,aad-1
MON89034 x MON88017 x DAS40278,MON-89Ø34-3 x MON-88Ø17-3 x DAS-4Ø278-9,"2,4-D herbicide tolerance",Maize,Zea mays L.,not available,aad-1
MON89034 x NK603 x DAS40278,MON-89Ø34-3 x MON-ØØ6Ø3-6 x DAS-4Ø278-9,"2,4-D herbicide tolerance",Maize,Zea mays L.,not available,aad-1
MON89034 x TC1507 x 59122 x DAS40278,MON-89Ø34-3 x DAS- Ø15Ø7-1 x DAS-59122-7 x DAS-4Ø278-9,"2,4-D herbicide tolerance",Maize,Zea mays L.,not available,aad-1
MON89034 x TC1507 x DAS40278,MON-89Ø34-3 x DAS-Ø15Ø7-1 x DAS-4Ø278-9,"2,4-D herbicide tolerance",Maize,Zea mays L.,not available,aad-1
MON89034 x TC1507 x MON88017 x 59122 x DAS40278,MON-89Ø34-3 x DAS-Ø15Ø7-1 x MON-88Ø17-3 x DAS-59122-7 x DAS-4Ø278-9,"2,4-D herbicide tolerance",Maize,Zea mays L.,not available,aad-1
MON89034 x TC1507 x NK603 x DAS40278,MON-89Ø34-3 x DAS-Ø15Ø7-1 x MON-ØØ6Ø3-6 x DAS-4Ø278-9,"2,4-D herbicide tolerance",Maize,Zea mays L.,not available,aad-1
MON89034 x TC1507 x NK603 x MIR162 x DAS40278,MON-89Ø34-3 x DAS-Ø15Ø7-1 x MON-ØØ6Ø3-6 x SYN-IR162-4 x DAS-4Ø278-9,"2,4-D herbicide tolerance",Maize,Zea mays L.,Power Core™ x MIR162 x Enlist™,aad-1
TC1507 x 59122 x DAS40278,DAS-Ø15Ø7-1 x DAS-59122-7 x DAS-4Ø278-9,"2,4-D herbicide tolerance",Maize,Zea mays L.,not available,aad-1
TC1507 x 59122 x MON88017 x DAS40278,DAS-Ø15Ø7-1 x DAS-59122-7 x MON-88Ø17-3 x DAS-4Ø278-9,"2,4-D herbicide tolerance",Maize,Zea mays L.,not available,aad-1
